question,truth
0,2
1,3
2,0
3,1
5,3
6,0
7,2
9,0
10,3
11,2
12,3
13,1
15,2
18,0
19,2
21,0
22,1
23,2
25,0
26,2
28,2
29,1
30,0
31,3
32,3
33,1
34,2
35,0
36,2
38,3
40,2
41,1
42,3
43,0
44,0
45,2
46,3
47,1
48,1
49,0
50,2
51,3
52,0
54,1
55,2
57,2
58,3
59,0
60,2
61,1
62,3
63,0
64,2
68,2
69,0
70,1
71,3
72,3
73,0
74,2
75,1
76,2
77,3
78,0
79,1
80,1
81,3
82,2
83,0
84,1
85,3
86,0
87,2
89,2
90,3
91,1
93,3
95,2
96,3
98,2
99,0
100,2
101,3
102,0
103,1
104,3
105,1
106,0
107,2
108,2
109,1
110,0
111,3
112,2
114,0
117,3
118,1
119,0
120,0
121,1
122,2
123,3
126,2
127,0
128,2
129,3
131,1
133,0
134,2
137,3
138,2
139,1
140,1
141,3
143,0
144,0
146,3
147,2
148,2
150,1
151,0
152,3
155,1
156,1
157,3
158,2
159,0
160,1
161,0
162,2
163,3
165,1
166,0
167,2
168,1
169,3
170,2
171,0
172,3
173,1
174,0
175,2
176,1
177,3
178,2
179,0
180,3
181,0
182,1
183,2
184,0
185,3
187,1
188,3
190,2
191,1
192,0
193,2
194,3
195,1
197,0
199,1
200,1
201,3
202,2
203,0
204,0
206,3
207,2
209,0
211,1
212,1
213,0
214,3
215,2
217,3
220,0
222,2
223,3
224,2
226,3
227,0
228,2
229,0
231,1
232,0
233,2
234,1
235,3
237,3
238,2
239,0
241,3
242,2
244,3
246,0
247,1
248,2
249,0
250,3
252,3
253,1
254,2
256,1
257,0
258,3
259,2
260,0
261,3
262,2
263,1
264,1
265,3
266,0
267,2
268,3
269,1
271,0
272,0
273,3
274,2
275,1
276,2
277,0
278,3
279,1
280,3
281,2
282,1
283,0
285,0
286,1
287,3
289,0
290,2
291,3
293,1
294,3
295,0
298,2
299,3
300,1
301,2
302,0
303,3
306,1
307,0
308,0
309,2
312,1
313,0
314,2
315,3
316,2
318,3
319,1
320,1
321,3
324,0
326,2
328,3
329,1
330,2
331,0
332,1
333,0
334,2
335,3
336,1
337,0
338,2
339,3
340,2
341,1
343,0
344,0
346,2
347,1
348,1
349,3
350,0
351,2
352,1
353,0
356,2
357,1
358,3
359,0
360,2
361,3
362,0
363,1
364,1
365,3
366,0
367,2
368,0
369,2
370,3
371,1
372,1
375,3
376,3
377,1
378,0
379,2
380,2
381,3
382,1
384,0
385,3
387,1
388,2
389,0
390,3
391,1
393,2
394,0
395,3
396,2
398,0
399,3
400,1
401,2
402,3
405,3
407,1
408,2
409,1
412,0
413,2
414,1
415,3
416,0
420,0
421,3
423,2
424,3
425,1
427,0
429,1
430,0
431,3
433,0
436,1
437,3
439,0
440,3
441,2
442,1
443,0
445,3
446,2
447,0
448,3
449,2
450,1
451,0
452,1
453,2
454,0
455,3
456,1
457,3
458,2
460,0
461,3
462,1
463,2
464,3
466,1
468,3
469,1
470,0
471,2
472,3
473,2
474,0
477,0
478,3
480,1
481,0
482,3
483,2
484,1
485,3
488,0
489,2
490,3
492,0
493,3
494,1
495,2
497,0
498,1
499,3
500,2
501,1
502,3
503,0
504,1
505,3
506,0
507,2
508,3
509,1
510,0
512,3
513,0
514,2
515,1
516,3
518,0
519,2
520,2
521,1
525,3
526,1
528,1
529,2
530,3
532,0
533,2
534,1
536,2
537,1
539,0
540,0
541,1
542,2
543,3
544,2
545,3
546,1
547,0
548,3
550,0
551,2
552,3
553,1
554,2
555,0
556,0
557,1
558,2
559,3
560,1
562,3
563,2
564,0
565,2
566,3
567,1
568,3
569,1
570,0
571,2
573,3
574,2
575,1
576,0
577,1
578,3
579,2
581,0
582,2
583,1
