question,truth
0,2
1,3
2,0
4,1
5,3
6,0
7,2
8,1
9,0
10,3
11,2
12,3
13,1
14,0
15,2
16,3
17,1
19,2
20,3
21,0
23,2
24,1
25,0
27,3
28,2
30,0
31,3
32,3
33,1
34,2
35,0
36,2
37,1
38,3
39,0
40,2
41,1
42,3
45,2
46,3
50,2
51,3
52,0
53,3
54,1
55,2
56,1
57,2
58,3
60,2
62,3
63,0
64,2
65,1
66,3
67,0
74,2
78,0
79,1
80,1
81,3
82,2
83,0
84,1
85,3
88,0
89,2
90,3
91,1
92,1
93,3
94,0
95,2
96,3
97,1
98,2
99,0
100,2
101,3
102,0
103,1
104,3
105,1
106,0
109,1
111,3
112,2
113,3
114,0
115,1
116,2
117,3
119,0
120,0
121,1
124,1
125,3
126,2
127,0
128,2
129,3
130,0
131,1
132,3
133,0
134,2
135,1
136,0
137,3
138,2
139,1
140,1
141,3
142,2
143,0
144,0
145,1
147,2
149,3
150,1
151,0
152,3
153,2
154,0
155,1
156,1
157,3
159,0
160,1
161,0
162,2
163,3
164,3
166,0
167,2
168,1
170,2
172,3
173,1
175,2
177,3
179,0
180,3
181,0
182,1
183,2
184,0
185,3
186,2
187,1
188,3
189,0
190,2
191,1
192,0
193,2
194,3
195,1
196,3
198,2
199,1
202,2
203,0
204,0
205,1
206,3
207,2
208,2
210,3
211,1
214,3
215,2
216,2
218,0
219,1
221,1
222,2
223,3
225,1
227,0
229,0
230,3
231,1
233,2
234,1
235,3
236,1
237,3
238,2
240,1
241,3
242,2
243,0
244,3
245,2
246,0
247,1
249,0
250,3
251,1
252,3
253,1
254,2
255,0
256,1
257,0
258,3
259,2
260,0
261,3
262,2
263,1
265,3
266,0
269,1
270,2
271,0
272,0
273,3
274,2
275,1
276,2
277,0
282,1
283,0
284,2
285,0
286,1
287,3
288,1
289,0
290,2
291,3
292,2
293,1
294,3
295,0
296,0
297,1
298,2
299,3
300,1
301,2
302,0
303,3
304,3
305,2
306,1
308,0
309,2
310,1
311,3
312,1
315,3
316,2
317,0
318,3
320,1
321,3
322,0
323,2
325,1
326,2
327,3
328,3
329,1
330,2
331,0
333,0
334,2
335,3
336,1
337,0
338,2
339,3
340,2
342,3
344,0
345,3
346,2
348,1
349,3
350,0
352,1
353,0
354,3
355,2
356,2
357,1
358,3
360,2
362,0
363,1
365,3
366,0
367,2
368,0
371,1
372,1
373,0
374,2
375,3
376,3
377,1
378,0
379,2
380,2
381,3
382,1
383,0
384,0
385,3
386,2
387,1
389,0
390,3
391,1
392,1
393,2
394,0
395,3
396,2
397,1
398,0
399,3
400,1
402,3
403,0
404,0
405,3
406,2
407,1
408,2
410,0
411,3
412,0
413,2
415,3
416,0
417,3
418,2
419,1
422,1
424,3
425,1
426,2
427,0
428,2
429,1
430,0
431,3
432,2
433,0
434,3
435,1
437,3
438,2
439,0
440,3
442,1
443,0
444,1
446,2
455,3
456,1
457,3
458,2
459,0
460,0
462,1
463,2
465,2
467,0
468,3
469,1
470,0
472,3
473,2
474,0
475,1
476,2
477,0
479,1
480,1
482,3
483,2
485,3
486,0
487,2
488,0
489,2
491,1
492,0
493,3
494,1
495,2
496,2
497,0
499,3
500,2
501,1
502,3
503,0
504,1
506,0
507,2
508,3
509,1
510,0
511,2
513,0
514,2
515,1
516,3
517,1
518,0
519,2
521,1
522,3
523,0
524,0
525,3
526,1
527,2
528,1
529,2
531,0
532,0
533,2
534,1
535,3
536,2
537,1
538,3
539,0
540,0
541,1
542,2
543,3
544,2
545,3
546,1
548,3
549,1
550,0
551,2
552,3
553,1
554,2
555,0
559,3
560,1
561,0
562,3
565,2
566,3
567,1
568,3
570,0
571,2
572,0
574,2
575,1
576,0
578,3
579,2
580,3
