1	2
2	3
3	0
4	1
6	3
7	0
8	2
10	0
11	3
12	2
13	3
14	1
16	2
19	0
20	2
22	0
23	1
24	2
26	0
27	2
29	2
30	1
31	0
32	3
33	3
34	1
35	2
36	0
37	2
39	3
41	2
42	1
43	3
44	0
45	0
46	2
47	3
48	1
49	1
50	0
51	2
52	3
53	0
55	1
56	2
58	2
59	3
60	0
61	2
62	1
63	3
64	0
65	2
69	2
70	0
71	1
72	3
73	3
74	0
75	2
76	1
77	2
78	3
79	0
80	1
81	1
82	3
83	2
84	0
85	1
86	3
87	0
88	2
90	2
91	3
92	1
94	3
96	2
97	3
99	2
100	0
101	2
102	3
103	0
104	1
105	3
106	1
107	0
108	2
109	2
110	1
111	0
112	3
113	2
115	0
118	3
119	1
120	0
121	0
122	1
123	2
124	3
127	2
128	0
129	2
130	3
132	1
134	0
135	2
138	3
139	2
140	1
141	1
142	3
144	0
145	0
147	3
148	2
149	2
151	1
152	0
153	3
156	1
157	1
158	3
159	2
160	0
161	1
162	0
163	2
164	3
166	1
167	0
168	2
169	1
170	3
171	2
172	0
173	3
174	1
175	0
176	2
177	1
178	3
179	2
180	0
181	3
182	0
183	1
184	2
185	0
186	3
188	1
189	3
191	2
192	1
193	0
194	2
195	3
196	1
198	0
200	1
201	1
202	3
203	2
204	0
205	0
207	3
208	2
210	0
212	1
213	1
214	0
215	3
216	2
218	3
221	0
223	2
224	3
225	2
227	3
228	0
229	2
230	0
232	1
233	0
234	2
235	1
236	3
238	3
239	2
240	0
242	3
243	2
245	3
247	0
248	1
249	2
250	0
251	3
253	3
254	1
255	2
257	1
258	0
259	3
260	2
261	0
262	3
263	2
264	1
265	1
266	3
267	0
268	2
269	3
270	1
272	0
273	0
274	3
275	2
276	1
277	2
278	0
279	3
280	1
281	3
282	2
283	1
284	0
286	0
287	1
288	3
290	0
291	2
292	3
294	1
295	3
296	0
299	2
300	3
301	1
302	2
303	0
304	3
307	1
308	0
309	0
310	2
313	1
314	0
315	2
316	3
317	2
319	3
320	1
321	1
322	3
325	0
327	2
329	3
330	1
331	2
332	0
333	1
334	0
335	2
336	3
337	1
338	0
339	2
340	3
341	2
342	1
344	0
345	0
347	2
348	1
349	1
350	3
351	0
352	2
353	1
354	0
357	2
358	1
359	3
360	0
361	2
362	3
363	0
364	1
365	1
366	3
367	0
368	2
369	0
370	2
371	3
372	1
373	1
376	3
377	3
378	1
379	0
380	2
381	2
382	3
383	1
385	0
386	3
388	1
389	2
390	0
391	3
392	1
394	2
395	0
396	3
397	2
399	0
400	3
401	1
402	2
403	3
406	3
408	1
409	2
410	1
413	0
414	2
415	1
416	3
417	0
421	0
422	3
424	2
425	3
426	1
428	0
430	1
431	0
432	3
434	0
437	1
438	3
440	0
441	3
442	2
443	1
444	0
446	3
447	2
448	0
449	3
450	2
451	1
452	0
453	1
454	2
455	0
456	3
457	1
458	3
459	2
461	0
462	3
463	1
464	2
465	3
467	1
469	3
470	1
471	0
472	2
473	3
474	2
475	0
478	0
479	3
481	1
482	0
483	3
484	2
485	1
486	3
489	0
490	2
491	3
493	0
494	3
495	1
496	2
498	0
499	1
500	3
501	2
502	1
503	3
504	0
505	1
506	3
507	0
508	2
509	3
510	1
511	0
513	3
514	0
515	2
516	1
517	3
519	0
520	2
521	2
522	1
526	3
527	1
529	1
530	2
531	3
533	0
534	2
535	1
537	2
538	1
540	0
541	0
542	1
543	2
544	3
545	2
546	3
547	1
548	0
549	3
551	0
552	2
553	3
554	1
555	2
556	0
557	0
558	1
559	2
560	3
561	1
563	3
564	2
565	0
566	2
567	3
568	1
569	3
570	1
571	0
572	2
574	3
575	2
576	1
577	0
578	1
579	3
580	2
582	0
583	2
584	1
